"";"ANO_ELEICAO";"SG_UF";"ECI dep";"ECI gov";"ENP"
"80";"1998";"CE";0,806093825295874;0,592058702559284;5,1918512157961
"81";"1998";"DF";0,969359418946099;0,9656;10,1410790690523
"82";"1998";"ES";0,943477323036409;0,524342010003531;9,64012071197094
"83";"1998";"GO";0,829522443414955;0,983291501778483;5,41507824222986
"84";"1998";"MA";0,942977487936565;0,603489191683063;11,1264279668739
"85";"1998";"MG";0,958897788219811;0,940275008838163;10,6094335928273
"86";"1998";"MS";0,899916794635494;0,942777565520185;6,9754353433898
"87";"1998";"MT";0,901750642232317;0,83968857198975;7,21707764512642
"88";"1998";"PA";0,995726293207008;0,917965386788329;9,02914313849088
"89";"1998";"PB";0,769198324792408;0,353923394160081;3,75947049176615
"90";"1998";"PE";0,952636157549783;0,622392392789707;7,39206052358382
"91";"1998";"PI";0,996797944093879;0,968422182778817;4,95571516391166
"92";"1998";"PR";0,920136118181929;0,936990981746545;7,09587055781193
"93";"1998";"RJ";0,903481620874034;0,874381768331768;8,87476373959325
"94";"1998";"RN";0,860260307441242;0,911856292783321;6,05209506563965
"95";"1998";"RO";0,945900798490558;0,989952413057281;8,97673966889253
"96";"1998";"RR";0,955912683403871;0,924062476915879;7,76461518862253
"97";"1998";"RS";0,984300890520855;0,995238931651392;6,2958650326754
"98";"1998";"SC";0,936906576839079;0,6419875993435;5,41428794767531
"99";"1998";"SE";0,918316623354516;0,985334563828912;8,05744427973594
"100";"1998";"SP";0,942033009646937;0,907425962712138;8,85114767620243
"101";"1998";"TO";0,964867135489453;0,715204388968296;4,36891519769842
"102";"2002";"AC";0,912685831005439;0,700590202711784;9,28841684115458
"103";"2002";"AL";0,983265421787878;0,872426278115576;9,38194274259238
"104";"2002";"AM";0,994617915121586;0,684784532668579;12,1476716233787
"105";"2002";"AP";0,927290697936405;0,884880958485019;11,6123668619266
"106";"2002";"BA";0,929344526059277;0,847762889517036;8,56180034838736
"107";"2002";"CE";0,831905557951724;0,785398592692281;7,63746532073636
"108";"2002";"DF";0,974667594681355;0,978898081486314;10,3405075522527
"109";"2002";"ES";0,995752949418687;0,875350616039036;13,0652242762506
"110";"2002";"GO";0,977550049167559;0,815882277961109;7,80944311273079
"111";"2002";"MA";0,851124371234037;0,914681012053311;6,85571661224964
"112";"2002";"MG";0,999529990286098;0,730493890599685;10,1225194909152
"113";"2002";"MS";0,955659025574335;0,940803929784116;10,4660888982227
"114";"2002";"MT";0,885640314480132;0,787854249025194;8,31555321337462
"115";"2002";"PA";0,986632037578438;0,944773691406375;8,79838051138516
"116";"2002";"PB";0,919362725789881;0,927809372270688;6,48665024120475
"117";"2002";"PE";0,950617378232787;0,736978326723545;11,9009726161119
"118";"2002";"PI";0,971521563901158;0,93109085053693;6,27816587600147
"119";"2002";"PR";0,996676465982935;0,947792102616554;9,86783232326254
"120";"2002";"RJ";0,936546220983926;0,731705153129863;11,2028651558078
"121";"2002";"RN";0,903826085347156;0,93294500011444;7,91622354670182
"122";"2002";"RO";0,99145184361268;0,906120524731335;11,8396046408773
"123";"2002";"RR";0,995421763692601;0,994046774422415;16,9304084600591
"124";"2002";"RS";0,900073616740922;0,960860284653709;7,5111695067381
"125";"2002";"SC";0,947695098112414;0,902263395374701;5,97129316360282
"126";"2002";"SE";0,993232907798854;0,848012058681857;10,6447277328112
"127";"2002";"SP";0,955975910331418;0,941665907147348;8,31606630821165
"128";"2002";"TO";0,904622006104149;0,73139131509858;6,72965914391096
"129";"2006";"AC";0,933587165737918;0,820683394017665;9,8226845404283
"130";"2006";"AL";0,882716015286433;0,746627788409477;5,51619807864764
"131";"2006";"AM";0,944334768224312;0,893641530001553;13,6490371361033
"132";"2006";"AP";0,97128098506311;0,840219369848043;14,4152407157423
"133";"2006";"BA";0,898207521410628;0,901462370895074;8,38022321111183
"134";"2006";"CE";0,854818788779202;0,714893084259909;7,05829600636444
"135";"2006";"DF";0,997463693815638;0,735956105710814;11,4224252431037
"136";"2006";"ES";0,995271933857077;0,444940380821653;12,7175476529444
"137";"2006";"GO";0,984802732015016;0,929414571872488;7,48693989334226
"138";"2006";"MA";0,928989568951121;0,87150647504796;10,0220759055572
"139";"2006";"MG";0,973537067277911;0,450035443156815;10,0793909425973
"140";"2006";"MS";0,97309521290321;0,767032724062824;7,18744841976211
"141";"2006";"MT";0,912265626212448;0,544423350702011;7,19064973667619
"142";"2006";"PA";0,97860953793857;0,936928574832648;9,06554629660454
"143";"2006";"PB";0,988512216461795;0,990712901857735;6,76131111445005
"144";"2006";"PE";0,965998961087027;0,944921967949988;12,2066889909382
"145";"2006";"PI";0,960847856995665;0,635833374781429;8,61516315921225
"146";"2006";"PR";0,777933527486148;0,957943600357244;7,13883542345508
"147";"2006";"RJ";0,965864641502368;0,823592967755647;11,2759729230661
"148";"2006";"RN";0,985528498562373;0,990258573143432;8,67700641500371
"149";"2006";"RO";0,984416331185666;0,71766284971268;13,2073481583433
"150";"2006";"RR";0,953965014854978;0,682453848460188;15,600992827485
"151";"2006";"RS";0,979849404921539;0,94483334076036;8,24671629784322
"152";"2006";"SC";0,899935064521964;0,838716839225308;6,16495114079606
"153";"2006";"SE";0,923480667867171;0,9256064512195;8,22086530484649
"154";"2006";"SP";0,930500611618171;0,737546471880126;7,90104887722909
"155";"2006";"TO";0,910787200584302;0,953537065656314;8,43953191544904
"156";"2010";"AC";0,968212058097248;0,986653489324572;12,9633289269263
"157";"2010";"AL";0,958466450860614;0,895813046991307;11,5856795266395
"158";"2010";"AM";0,952441344504362;0,620406130662242;13,462400815125
"159";"2010";"AP";0,967619890622276;0,997481616098401;13,8995675282695
"160";"2010";"BA";0,939945965186013;0,522549436935272;11,4600666366178
"161";"2010";"CE";0,980453518824168;0,582337823781043;11,0279602804067
"162";"2010";"DF";0,979734849253166;0,830912837086874;16,3798593377678
"163";"2010";"ES";0,980425310421145;0,332000797768003;12,7526802894546
"164";"2010";"GO";0,923203454591883;0,900523296919473;10,4195574535936
"165";"2010";"MA";0,992738905185927;0,79401360068096;13,7887337285841
"166";"2010";"MG";0,987587186576267;0,714582221295225;12,4743887122279
"167";"2010";"MS";0,973213261717787;0,865013820093151;8,70410754279465
"168";"2010";"MT";0,883839029229471;0,806326327297924;7,27046158935639
"169";"2010";"PA";0,969977802728329;0,871317012735252;10,5693920939256
"170";"2010";"PB";0,930854109964669;0,995582192757267;8,95637096515316
"171";"2010";"PE";0,957485632317899;0,312236956410588;11,0134329603518
"172";"2010";"PI";0,9429230950197;0,837087186409307;8,42508979437057
"173";"2010";"PR";0,949865991162815;0,931959421951877;9,43426763045169
"174";"2010";"RJ";0,973611564406271;0,545930785904393;11,9043596045328
"175";"2010";"RN";0,966912873775363;0,837652267351621;9,45085314953398
"176";"2010";"RO";0,971007930457474;0,931523269875064;14,0744507145067
"177";"2010";"RR";0,977750843785202;0,9741943691023;16,468791784187
"178";"2010";"RS";0,94075044743727;0,703829422201179;7,45513076890017
"179";"2010";"SC";0,952009308196427;0,721904097010023;7,10336531180243
"180";"2010";"SE";0,992263638907875;0,931169728794927;11,7844106777969
"181";"2010";"SP";0,977916216400428;0,846181352001888;7,54448139864054
"182";"2010";"TO";0,941821253523181;0,989649158045782;8,08821339055079
"183";"2014";"AC";0,964581131607618;0,803636223268741;15,4711361679178
"184";"2014";"AL";0,953164699433035;0,817535878782125;13,3178971386956
"185";"2014";"AM";0,94412221317357;0,998839323265208;16,7658300055938
"186";"2014";"AP";0,988069312735335;0,853517486260329;18,1338856689851
"187";"2014";"BA";0,930650157306429;0,828630644303098;11,468114712808
"188";"2014";"CE";0,920971819724427;0,985996451171491;12,1748044340758
"189";"2014";"DF";0,983700867334078;0,8274443474679;18,4577069770703
"190";"2014";"ES";0,951394394307335;0,859055380358338;15,1277873857903
"191";"2014";"GO";0,970835115398622;0,825360040774655;11,1344637060213
"192";"2014";"MA";0,990659041522352;0,701706622086255;19,4778616248806
"193";"2014";"MG";0,962153952318844;0,889147419300348;14,6667529045329
"194";"2014";"MS";0,952326494729163;0,961730121973085;9,43693969057892
"195";"2014";"MT";0,980364552786744;0,751919412485709;10,8506780581814
"196";"2014";"PA";0,989558946113529;0,986201610439935;13,3603609348905
"197";"2014";"PB";0,986722337802612;0,986049416751806;14,3504073882386
"198";"2014";"PE";0,925319228519616;0,629901204424579;8,05035899929868
"199";"2014";"PI";0,982078565338501;0,701667136797207;9,37465597212841
"200";"2014";"PR";0,993790678315413;0,718885861156422;11,2910400974981
"201";"2014";"RJ";0,969533542367872;0,796883766346538;13,1010081279552
"202";"2014";"RN";0,987615246117563;0,947024716001594;10,4722788400851
"203";"2014";"RO";0,976203753145025;0,995573987940144;15,6345025981062
"204";"2014";"RR";0,990344541204374;0,96140463308726;19,4102759493261
"205";"2014";"RS";0,965404629136829;0,921708625389187;8,9790729886946
"206";"2014";"SC";0,937269100506169;0,78536275529951;7,82878872728955
"207";"2014";"SE";0,975647458583884;0,878431770637399;12,9152642325017
"208";"2014";"SP";0,936481829515695;0,642190170740926;9,5287859046868
"209";"2014";"TO";0,983434654854446;0,934214587781449;13,4629662384484
"210";"2018";"AC";0,99561414717926;0,808375451955998;17,2229356389399
"211";"2018";"AL";0,953174562302267;0,337613882662347;11,3495350981372
"212";"2018";"AM";0,980057853144682;1;17,9791357255554
"213";"2018";"AP";0,975427206441017;0,965456528474309;19,1595131370119
"214";"2018";"BA";0,949675526007259;0,467550596676462;12,4141611373764
"215";"2018";"CE";0,88093231857228;0,313359177506827;8,30454254231267
"216";"2018";"DF";0,986025467948517;0,719624646136165;22,4686730362946
"217";"2018";"ES";0,99718449121335;0,717305430158138;20,9947834883882
"218";"2018";"GO";0,98046401846201;0,56412213560465;18,0928252381352
"219";"2018";"MA";0,955081270577815;0,707872605883978;14,8619175050836
"220";"2018";"MG";0,964629957893281;0,863298313752091;19,8032358019415
"221";"2018";"MS";0,957338954789902;0,870086612018055;9,73572400781475
"222";"2018";"MT";0,978874708768307;0,608778537967495;16,7876412051254
